Historical Data;;;;;;;;
From 2023-06-12 to 2025-06-09;;;;;;;;
FR0003500008;;;;;;;;
Date;Open;High;Low;Last;Close;Number of Shares;Number of Trades;Turnover
21/05/2024;8163.17;8167.50;8097.98;8141.46;8141.46;'0;'0;'2854920963
20/05/2024;8178.63;8221.30;8175.46;8195.97;8195.97;'0;'0;'2690533871
17/05/2024;8176.79;8192.92;8135.80;8167.50;8167.50;'0;'0;'3987734102
16/05/2024;8239.77;8239.77;8183.19;8188.49;8188.49;'0;'0;'2672361791
15/05/2024;8241.68;8253.10;8203.40;8239.99;8239.99;'0;'0;'3055424922
14/05/2024;8213.81;8233.18;8187.69;8225.80;8225.80;'0;'0;'2733877988
13/05/2024;8211.07;8223.81;8186.77;8209.28;8209.28;'0;'0;'2616217906
10/05/2024;8232.65;8259.19;8211.20;8219.14;8219.14;'0;'0;'3462371685
'09/05/2024;8123.92;8191.92;8114.88;8187.65;8187.65;'0;'0;'2125571686
'08/05/2024;8093.62;8157.48;8089.28;8131.41;8131.41;'0;'0;'2880343095
'07/05/2024;8036.75;8077.64;8006.31;8075.68;8075.68;'0;'0;'3003650556
'06/05/2024;7975.86;8033.23;7961.45;7996.64;7996.64;'0;'0;'2060643955
'03/05/2024;7943.87;8003.95;7921.21;7957.57;7957.57;'0;'0;'3243023879
'02/05/2024;7954.01;7956.52;7908.63;7914.65;7914.65;'0;'0;'3829159393
30/04/2024;8073.64;8081.71;7971.80;7984.93;7984.93;'0;'0;'4209346449
29/04/2024;8116.43;8128.00;8065.15;8065.15;8065.15;'0;'0;'3300413270
26/04/2024;8072.23;8114.63;8024.62;8088.24;8088.24;'0;'0;'3609881237
25/04/2024;8094.55;8095.43;7955.51;8016.65;8016.65;'0;'0;'4034943044
24/04/2024;8105.22;8146.96;8078.77;8091.86;8091.86;'0;'0;'3749988756
23/04/2024;8064.32;8111.17;8052.57;8105.78;8105.78;'0;'0;'3168570112
22/04/2024;8068.14;8071.81;8007.45;8040.36;8040.36;'0;'0;'2913732670
19/04/2024;7971.68;8039.48;7946.84;8022.41;8022.41;'0;'0;'4449036239
18/04/2024;8013.91;8039.19;7976.40;8023.26;8023.26;'0;'0;'3340003694
17/04/2024;7958.52;8060.99;7958.00;7981.51;7981.51;'0;'0;'3295231831
16/04/2024;7899.36;7975.96;7899.36;7932.61;7932.61;'0;'0;'3500541708
15/04/2024;8051.26;8126.38;8028.84;8045.11;8045.11;'0;'0;'2973410603
12/04/2024;8092.45;8118.02;7980.39;8010.83;8010.83;'0;'0;'3140391519
11/04/2024;8048.16;8092.82;7974.06;8023.74;8023.74;'0;'0;'3187943082
10/04/2024;8101.04;8101.47;7976.01;8045.38;8045.38;'0;'0;'3111771566
'09/04/2024;8090.47;8103.20;8032.27;8049.17;8049.17;'0;'0;'2881919958
'08/04/2024;8050.02;8145.22;8049.51;8119.30;8119.30;'0;'0;'2759235657
'05/04/2024;8050.25;8062.01;8019.29;8061.31;8061.31;'0;'0;'3742233882
'04/04/2024;8154.41;8189.66;8137.98;8151.55;8151.55;'0;'0;'2799422932
'03/04/2024;8144.96;8160.04;8120.95;8153.23;8153.23;'0;'0;'3549696797
'02/04/2024;8195.65;8253.05;8121.39;8130.05;8130.05;'0;'0;'4110376160
